timestamp,esgScore,governanceScore,environmentScore,socialScore
1409529600,57.0,54.0,51.0,65.0
1412121600,57.0,54.0,51.0,65.0
1414800000,57.0,54.0,51.0,65.0
1417392000,56.0,53.0,51.0,63.0
1420070400,56.0,53.0,51.0,63.0
1422748800,56.0,53.0,51.0,63.0
1425168000,56.0,53.0,50.0,63.0
1427846400,56.0,53.0,50.0,63.0
1430438400,56.0,53.0,50.0,63.0
1433116800,56.0,53.0,50.0,63.0
1435708800,56.0,53.0,50.0,63.0
1438387200,56.0,53.0,50.0,63.0
1441065600,56.0,53.0,50.0,63.0
1443657600,56.0,53.0,50.0,63.0
1446336000,56.0,53.0,50.0,63.0
1448928000,56.0,53.0,50.0,63.0
1451606400,57.68,54.32,47.58,69.7
1454284800,57.68,54.32,47.58,69.7
1456790400,57.68,54.32,47.58,69.7
1459468800,56.83,56.55,47.58,65.84
1462060800,56.83,56.55,47.58,65.84
1464739200,56.83,56.55,47.58,65.84
1467331200,56.7,56.55,47.17,65.84
1470009600,56.7,56.55,47.17,65.84
1472688000,56.7,56.55,47.17,65.84
1475280000,56.7,56.55,47.17,65.84
1477958400,56.7,56.55,47.17,65.84
1480550400,56.7,56.55,47.17,65.84
1483228800,56.7,56.55,47.17,65.84
1485907200,56.7,56.55,47.17,65.84
1488326400,56.7,56.55,47.17,65.84
1491004800,56.7,56.55,47.17,65.84
1493596800,57.41,56.23,49.92,65.84
1496275200,57.41,56.23,49.92,65.84
1498867200,57.41,56.23,49.92,65.84
1501545600,57.41,56.23,49.92,65.84
1504224000,57.41,56.23,49.92,65.84
1506816000,57.74,55.72,50.25,67.16
1509494400,57.74,55.72,50.25,67.16
1512086400,57.74,55.72,50.25,67.16
1514764800,57.74,55.72,50.25,67.16
1517443200,56.12,51.52,50.25,67.1
1519862400,56.12,51.52,50.25,67.1
1522540800,56.12,51.52,50.25,67.1
1525132800,56.12,51.52,50.25,67.1
1527811200,56.12,51.52,50.25,67.1
1530403200,56.12,51.52,50.25,67.1
1533081600,56.12,51.52,50.25,67.1
1535760000,56.12,51.52,50.25,67.1
1538352000,56.25,51.52,50.67,67.1
1541030400,53.47,47.39,48.42,65.44
1543622400,53.69,47.97,48.42,65.44
1546300800,53.69,47.97,48.42,65.44
1548979200,53.69,47.97,48.42,65.44
1551398400,53.69,47.97,48.42,65.44
1554076800,53.69,47.97,48.42,65.44
1556668800,53.69,47.97,48.42,65.44
1559347200,53.69,47.97,48.42,65.44
1561939200,53.69,47.97,48.42,65.44
1564617600,53.69,47.97,48.42,65.44
1567296000,53.69,47.97,48.42,65.44
1569888000,53.69,47.97,48.42,65.44
1572566400,53.89,48.48,48.42,65.44
1575158400,53.37,47.82,47.52,65.44
1577836800,24.38,13.59,2.02,8.76
1580515200,24.38,13.59,2.02,8.76
1583020800,23.62,13.59,2.06,7.97
1585699200,,,,
1588291200,,,,
1590969600,,,,
1593561600,23.62,13.59,2.06,7.97
1596240000,23.62,13.59,2.06,7.97
1598918400,,,,
1601510400,23.62,13.59,2.06,7.97
1604188800,,,,
1606780800,,,,
1609459200,23.62,13.59,2.06,7.97
1612137600,23.26,12.94,2.46,7.86
1614556800,23.26,12.94,2.46,7.86
1617235200,,,,
1619827200,23.26,12.94,2.46,7.86
1622505600,,,,
1625097600,,,,
1627776000,,,,
1630454400,22.96,12.64,2.46,7.86
1633046400,,,,
1635724800,,,,
1638316800,,,,
1640995200,,,,
1643673600,17.3,9.57,0.47,7.26
1646092800,,,,
1648771200,,,,
1651363200,17.3,9.57,0.47,7.26
1654041600,,,,
1656633600,,,,
1659312000,17.3,9.57,0.47,7.26
1661990400,,,,
1664582400,,,,
1667260800,,,,
1669852800,,,,
1672531200,,,,
1675209600,,,,
1677628800,,,,
1680307200,,,,
1682899200,,,,
1685577600,,,,
1688169600,,,,
1690848000,,,,
1693526400,18.33,8.9,0.3,9.14
1696118400,,,,
1698796800,,,,
1701388800,,,,
1704067200,,,,
1706745600,,,,
1709251200,,,,
1711929600,,,,
1714521600,,,,
1717200000,,,,
1719792000,,,,
1722470400,,,,
1725148800,,,,
1727740800,,,,
1730419200,17.46,8.12,0.36,8.99
1733011200,18.58,8.97,1.29,8.32
1735689600,18.58,8.97,1.29,8.32
1738368000,18.58,8.97,1.29,8.32
1740787200,18.58,8.97,1.29,8.32
1743465600,18.58,8.97,1.29,8.32
1746057600,18.58,8.97,1.29,8.32
